�1;un;rapace;12;22;22;ss;dd;ff;gg;hh;hh;hh;hh;hh;;;;;;
24;Accipitriformes;Accipitridae;441610;188728;441610;Espèce;"Accipiter ventralis";"P. L. Sclater, 1866";"Accipiter ventralis P. L. Sclater, 1866";"Accipiter ventralis P. L. Sclater, 1866";;;Chordata;Aves;Animalia;;;;;
25;Accipitriformes;Accipitridae;2869;188842;2869;Espèce;"Aegypius monachus";"(Linnaeus, 1766)";"Aegypius monachus (Linnaeus, 1766)";"Aegypius monachus (Linnaeus, 1766)";"Vautour moine";;Chordata;Aves;Animalia;;;;;
26;Accipitriformes;Accipitridae;2871;0;2869;Espèce;"Vultur monachus";"Linnaeus, 1766";"Vultur monachus Linnaeus, 1766";"Aegypius monachus (Linnaeus, 1766)";"Vautour moine";;Chordata;Aves;Animalia;;;;;
27;Accipitriformes;Accipitridae;2634;189372;2634;Espèce;"Aquila adalberti";"C. L. Brehm, 1861";"Aquila adalberti C. L. Brehm, 1861";"Aquila adalberti C. L. Brehm, 1861";"Aigle ibérique";;Chordata;Aves;Animalia;;;;;
28;Accipitriformes;Accipitridae;2645;189372;2645;Espèce;"Aquila chrysaetos";"(Linnaeus, 1758)";"Aquila chrysaetos (Linnaeus, 1758)";"Aquila chrysaetos (Linnaeus, 1758)";"Aigle royal";"Golden Eagle";Chordata;Aves;Animalia;;;;;
29;Accipitriformes;Accipitridae;416681;0;2645;Espèce;"Aquila fulva";"Linnaeus, 1758";"Aquila fulva Linnaeus, 1758";"Aquila chrysaetos (Linnaeus, 1758)";"Aigle royal";"Golden Eagle";Chordata;Aves;Animalia;;;;;
30;Accipitriformes;Accipitridae;2647;0;2645;Espèce;"Falco chrysaetos";"Linnaeus, 1758";"Falco chrysaetos Linnaeus, 1758";"Aquila chrysaetos (Linnaeus, 1758)";"Aigle royal";"Golden Eagle";Chordata;Aves;Animalia;;;;;
31;Accipitriformes;Accipitridae;2657;189372;2657;Espèce;"Aquila fasciata";"Vieillot, 1822";"Aquila fasciata Vieillot, 1822";"Aquila fasciata Vieillot, 1822";"Aigle de Bonelli";;Chordata;Aves;Animalia;;Crochu;marron;jaune;
32;Accipitriformes;Accipitridae;2655;0;2657;Espèce;"Hieraaetus fasciatus";"(Vieillot, 1822)";"Hieraaetus fasciatus (Vieillot, 1822)";"Aquila fasciata Vieillot, 1822";"Aigle de Bonelli";;Chordata;Aves;Animalia;;;;;
33;Accipitriformes;Accipitridae;2643;189372;2643;Espèce;"Aquila heliaca";"Savigny, 1809";"Aquila heliaca Savigny, 1809";"Aquila heliaca Savigny, 1809";"Aigle impérial";;Chordata;Aves;Animalia;;;;;
34;Accipitriformes;Accipitridae;2648;189372;2648;Espèce;"Aquila nipalensis";"Hodgson, 1833";"Aquila nipalensis Hodgson, 1833";"Aquila nipalensis Hodgson, 1833";"Aigle des steppes";;Chordata;Aves;Animalia;;;;;
