�1;un;rapace;12;22;22;ss;dd;ff;gg;hh;hh;hh;hh;hh;;;;;;
99;Accipitriformes;Accipitridae;2862;0;2860;Espèce;"Vultur fulvus";"Hablizl, 1783";"Vultur fulvus Hablizl, 1783";"Gyps fulvus (Hablizl, 1783)";"Vautour fauve";"Eurasian Griffon Vulture";Chordata;Aves;Animalia;;;;;
100;Accipitriformes;Accipitridae;416705;192993;416705;Espèce;"Gyps melitensis";;"""Gyps melitensis """;"""Gyps melitensis """;;;Chordata;Aves;Animalia;;;;;
101;Accipitriformes;Accipitridae;2850;0;2848;Espèce;"Falco albicilla";"Linnaeus, 1758";"Falco albicilla Linnaeus, 1758";"Haliaeetus albicilla (Linnaeus, 1758)";"Pygargue à queue blanche";"White-tailed Eagle";Chordata;Aves;Animalia;;;;;
102;Accipitriformes;Accipitridae;2848;193035;2848;Espèce;"Haliaeetus albicilla";"(Linnaeus, 1758)";"Haliaeetus albicilla (Linnaeus, 1758)";"Haliaeetus albicilla (Linnaeus, 1758)";"Pygargue à queue blanche";"White-tailed Eagle";Chordata;Aves;Animalia;;;;;
103;Accipitriformes;Accipitridae;441967;193035;441967;Espèce;"Haliaeetus leucocephalus";"(Linnaeus, 1766)";"Haliaeetus leucocephalus (Linnaeus, 1766)";"Haliaeetus leucocephalus (Linnaeus, 1766)";"Pygargue à tête blanche";;Chordata;Aves;Animalia;;;;;
104;Accipitriformes;Accipitridae;432706;193035;432706;Espèce;"Haliaeetus leucogaster";"(Gmelin, 1788)";"Haliaeetus leucogaster (Gmelin, 1788)";"Haliaeetus leucogaster (Gmelin, 1788)";"Aigle pêcheur à poitrine blanche";;Chordata;Aves;Animalia;;;;;
105;Accipitriformes;Accipitridae;441968;440416;441968;Espèce;"Haliastur sphenurus";"(Vieillot, 1818)";"Haliastur sphenurus (Vieillot, 1818)";"Haliastur sphenurus (Vieillot, 1818)";"Milan siffleur, Aigle siffleur";"Whistling Eagle-Kite";Chordata;Aves;Animalia;;;;;
106;Accipitriformes;Accipitridae;441970;440418;441970;Espèce;"Harpagus bidentatus";"(Latham, 1790)";"Harpagus bidentatus (Latham, 1790)";"Harpagus bidentatus (Latham, 1790)";"Harpage bidenté, Milan bidenté";;Chordata;Aves;Animalia;;;;;
107;Accipitriformes;Accipitridae;441971;440418;441971;Espèce;"Harpagus diodon";"(Temminck, 1823)";"Harpagus diodon (Temminck, 1823)";"Harpagus diodon (Temminck, 1823)";;;Chordata;Aves;Animalia;;;;;
108;Accipitriformes;Accipitridae;441972;440419;441972;Espèce;"Harpia harpyja";"(Linnaeus, 1758)";"Harpia harpyja (Linnaeus, 1758)";"Harpia harpyja (Linnaeus, 1758)";"Harpie féroce";;Chordata;Aves;Animalia;;;;;
109;Accipitriformes;Accipitridae;441973;440420;441973;Espèce;"Harpyhaliaetus solitarius";"(Tschudi, 1844)";"Harpyhaliaetus solitarius (Tschudi, 1844)";"Harpyhaliaetus solitarius (Tschudi, 1844)";;;Chordata;Aves;Animalia;;;;;
110;Accipitriformes;Accipitridae;782561;0;459487;Espèce;"Falco hamatus";"Temminck, 1821";"Falco hamatus Temminck, 1821";"Helicolestes hamatus (Temminck, 1821)";"Milan à long bec";"Slender-billed Kite";Chordata;Aves;Animalia;;;;;
111;Accipitriformes;Accipitridae;459487;782560;459487;Espèce;"Helicolestes hamatus";"(Temminck, 1821)";"Helicolestes hamatus (Temminck, 1821)";"Helicolestes hamatus (Temminck, 1821)";"Milan à long bec";"Slender-billed Kite";Chordata;Aves;Animalia;;;;;
112;Accipitriformes;Accipitridae;442327;0;459487;Espèce;"Rostrhamus hamatus";"(Temminck, 1821)";"Rostrhamus hamatus (Temminck, 1821)";"Helicolestes hamatus (Temminck, 1821)";"Milan à long bec";"Slender-billed Kite";Chordata;Aves;Animalia;;;;;
113;Accipitriformes;Accipitridae;2654;0;2651;Espèce;"Aquila pennata";"(Gmelin, 1788)";"Aquila pennata (Gmelin, 1788)";"Hieraaetus pennatus (Gmelin, 1788)";"Aigle botté";;Chordata;Aves;Animalia;;;;;
114;Accipitriformes;Accipitridae;2653;0;2651;Espèce;"Falco pennatus";"Gmelin, 1788";"Falco pennatus Gmelin, 1788";"Hieraaetus pennatus (Gmelin, 1788)";"Aigle botté";;Chordata;Aves;Animalia;;;;;
115;Accipitriformes;Accipitridae;2651;193275;2651;Espèce;"Hieraaetus pennatus";"(Gmelin, 1788)";"Hieraaetus pennatus (Gmelin, 1788)";"Hieraaetus pennatus (Gmelin, 1788)";"Aigle botté";;Chordata;Aves;Animalia;;Crochu;gris;jaune;
116;Accipitriformes;Accipitridae;442010;440440;442010;Espèce;"Ictinia plumbea";"(Gmelin, 1788)";"Ictinia plumbea (Gmelin, 1788)";"Ictinia plumbea (Gmelin, 1788)";"""Milan bleuâtre """;;Chordata;Aves;Animalia;;;;;
117;Accipitriformes;Accipitridae;442030;440455;442030;Espèce;"Leptodon cayanensis";"(Latham, 1790)";"Leptodon cayanensis (Latham, 1790)";"Leptodon cayanensis (Latham, 1790)";"Milan de Cayenne, Bec-en-croc de Cayenne";;Chordata;Aves;Animalia;;;;;
118;Accipitriformes;Accipitridae;442035;440458;442035;Espèce;"Leucopternis melanops";"(Latham, 1790)";"Leucopternis melanops (Latham, 1790)";"Leucopternis melanops (Latham, 1790)";"""Buse à face noire """;;Chordata;Aves;Animalia;;;;;
119;Accipitriformes;Accipitridae;2842;0;2840;Espèce;"Falco migrans";"Boddaert, 1783";"Falco migrans Boddaert, 1783";"Milvus migrans (Boddaert, 1783)";"Milan noir";"Black Kite";Chordata;Aves;Animalia;;;;;
120;Accipitriformes;Accipitridae;2843;0;2840;Espèce;"Milvus korschun";;"""Milvus korschun """;"Milvus migrans (Boddaert, 1783)";"Milan noir";"Black Kite";Chordata;Aves;Animalia;;;;;
121;Accipitriformes;Accipitridae;2840;194785;2840;Espèce;"Milvus migrans";"(Boddaert, 1783)";"Milvus migrans (Boddaert, 1783)";"Milvus migrans (Boddaert, 1783)";"Milan noir";"Black Kite";Chordata;Aves;Animalia;;Crochu;marron;jaune;
122;Accipitriformes;Accipitridae;418713;2840;418713;Sous-espèce;"Milvus migrans parasitus";"Grant & Mackworth-Praed, 1933";"Milvus migrans parasitus Grant & Mackworth-Praed, 1933";"Milvus migrans parasitus Grant & Mackworth-Praed, 1933";"Milan noir (à bec jaune)";;Chordata;Aves;Animalia;;;;;
123;Accipitriformes;Accipitridae;2846;0;2844;Espèce;"Falco milvus";"Linnaeus, 1758";"Falco milvus Linnaeus, 1758";"Milvus milvus (Linnaeus, 1758)";"Milan royal";"Red Kite";Chordata;Aves;Animalia;;;;;
124;Accipitriformes;Accipitridae;2844;194785;2844;Espèce;"Milvus milvus";"(Linnaeus, 1758)";"Milvus milvus (Linnaeus, 1758)";"Milvus milvus (Linnaeus, 1758)";"Milan royal";"Red Kite";Chordata;Aves;Animalia;;;;;
125;Accipitriformes;Accipitridae;442085;440487;442085;Espèce;"Morphnus guianensis";"(Daudin, 1800)";"Morphnus guianensis (Daudin, 1800)";"Morphnus guianensis (Daudin, 1800)";"""Harpie huppée """;;Chordata;Aves;Animalia;;;;;
126;Accipitriformes;Accipitridae;2856;195156;2856;Espèce;"Neophron percnopterus";"(Linnaeus, 1758)";"Neophron percnopterus (Linnaeus, 1758)";"Neophron percnopterus (Linnaeus, 1758)";"Vautour percnoptère";"Egyptian Vulture";Chordata;Aves;Animalia;;;;;
127;Accipitriformes;Accipitridae;2858;0;2856;Espèce;"Vultur perenopterus";"Linnaeus, 1758";"Vultur perenopterus Linnaeus, 1758";"Neophron percnopterus (Linnaeus, 1758)";"Vautour percnoptère";"Egyptian Vulture";Chordata;Aves;Animalia;;;;;
128;Accipitriformes;Accipitridae;2834;0;2832;Espèce;"Falco apivorus";"Linnaeus, 1758";"Falco apivorus Linnaeus, 1758";"Pernis apivorus (Linnaeus, 1758)";"Bondrée apivore";"European Honey-buzzard";Chordata;Aves;Animalia;;;;;
129;Accipitriformes;Accipitridae;2832;195987;2832;Espèce;"Pernis apivorus";"(Linnaeus, 1758)";"Pernis apivorus (Linnaeus, 1758)";"Pernis apivorus (Linnaeus, 1758)";"Bondrée apivore";"European Honey-buzzard";Chordata;Aves;Animalia;;;;;
130;Accipitriformes;Accipitridae;782643;0;720289;Espèce;"Falco albicollis";"Latham, 1790";"Falco albicollis Latham, 1790";"Pseudastur albicollis (Latham, 1790)";"Buse blanche";"White Hawk";Chordata;Aves;Animalia;;;;;
131;Accipitriformes;Accipitridae;442034;0;720289;Espèce;"Leucopternis albicollis";"(Latham, 1790)";"Leucopternis albicollis (Latham, 1790)";"Pseudastur albicollis (Latham, 1790)";"Buse blanche";"White Hawk";Chordata;Aves;Animalia;;;;;
132;Accipitriformes;Accipitridae;720289;720288;720289;Espèce;"Pseudastur albicollis";"(Latham, 1790)";"Pseudastur albicollis (Latham, 1790)";"Pseudastur albicollis (Latham, 1790)";"Buse blanche";"White Hawk";Chordata;Aves;Animalia;;;;;
133;Accipitriformes;Accipitridae;442328;440599;442328;Espèce;"Rostrhamus sociabilis";"(Vieillot, 1817)";"Rostrhamus sociabilis (Vieillot, 1817)";"Rostrhamus sociabilis (Vieillot, 1817)";"""Milan des marais """;;Chordata;Aves;Animalia;;;;;
134;Accipitriformes;Accipitridae;441700;0;720294;Espèce;"Buteo magnirostris";"(Gmelin, 1788)";"Buteo magnirostris (Gmelin, 1788)";"Rupornis magnirostris (Gmelin, 1788)";"Buse à gros bec";"Roadside Hawk";Chordata;Aves;Animalia;;;;;
135;Accipitriformes;Accipitridae;782644;0;720294;Espèce;"Falco magnirostris";"Gmelin, 1788";"Falco magnirostris Gmelin, 1788";"Rupornis magnirostris (Gmelin, 1788)";"Buse à gros bec";"Roadside Hawk";Chordata;Aves;Animalia;;;;;
136;Accipitriformes;Accipitridae;720294;720293;720294;Espèce;"Rupornis magnirostris";"(Gmelin, 1788)";"Rupornis magnirostris (Gmelin, 1788)";"Rupornis magnirostris (Gmelin, 1788)";"Buse à gros bec";"Roadside Hawk";Chordata;Aves;Animalia;;;;;
137;Accipitriformes;Accipitridae;782629;0;459528;Espèce;"Buteo melanoleucus";"Vieillot, 1816";"Buteo melanoleucus Vieillot, 1816";"Spizaetus melanoleucus (Vieillot, 1816)";"Aigle noir et blanc";"Black-and-White Hawk-Eagle";Chordata;Aves;Animalia;;;;;
138;Accipitriformes;Accipitridae;459528;440617;459528;Espèce;"Spizaetus melanoleucus";"(Vieillot, 1816)";"Spizaetus melanoleucus (Vieillot, 1816)";"Spizaetus melanoleucus (Vieillot, 1816)";"Aigle noir et blanc";"Black-and-White Hawk-Eagle";Chordata;Aves;Animalia;;;;;
139;Accipitriformes;Accipitridae;442363;0;459528;Espèce;"Spizastur melanoleucus";"(Vieillot, 1816)";"Spizastur melanoleucus (Vieillot, 1816)";"Spizaetus melanoleucus (Vieillot, 1816)";"Aigle noir et blanc";"Black-and-White Hawk-Eagle";Chordata;Aves;Animalia;;;;;
140;Accipitriformes;Accipitridae;442361;440617;442361;Espèce;"Spizaetus ornatus";"(Daudin, 1800)";"Spizaetus ornatus (Daudin, 1800)";"Spizaetus ornatus (Daudin, 1800)";"""Aigle orné """;;Chordata;Aves;Animalia;;;;;
141;Accipitriformes;Accipitridae;828921;0;442362;Espèce;"Falco tyrannus";"Wied-Neuwied, 1820";"Falco tyrannus Wied-Neuwied, 1820";"Spizaetus tyrannus (Wied-Neuwied, 1820)";"""Aigle tyran """;;Chordata;Aves;Animalia;;;;;
142;Accipitriformes;Accipitridae;442362;440617;442362;Espèce;"Spizaetus tyrannus";"(Wied-Neuwied, 1820)";"Spizaetus tyrannus (Wied-Neuwied, 1820)";"Spizaetus tyrannus (Wied-Neuwied, 1820)";"""Aigle tyran """;;Chordata;Aves;Animalia;;;;;
143;Accipitriformes;Accipitridae;828922;442362;828922;Sous-espèce;"Spizaetus tyrannus serus";"Friedmann, 1950";"Spizaetus tyrannus serus Friedmann, 1950";"Spizaetus tyrannus serus Friedmann, 1950";;;Chordata;Aves;Animalia;;;;;
144;Accipitriformes;Accipitridae;2867;0;2864;Espèce;"Aegypius tracheliotus";"(J. R. Forster, 1791)";"Aegypius tracheliotus (J. R. Forster, 1791)";"Torgos tracheliotus (J. R. Forster, 1791)";"Vautour oricou";;Chordata;Aves;Animalia;;;;;
145;Accipitriformes;Accipitridae;459634;0;2864;Espèce;"Torgos tracheliotos";"(Forster, 1791)";"Torgos tracheliotos (Forster, 1791)";"Torgos tracheliotus (J. R. Forster, 1791)";"Vautour oricou";;Chordata;Aves;Animalia;;;;;
146;Accipitriformes;Accipitridae;2864;198508;2864;Espèce;"Torgos tracheliotus";"(J. R. Forster, 1791)";"Torgos tracheliotus (J. R. Forster, 1791)";"Torgos tracheliotus (J. R. Forster, 1791)";"Vautour oricou";;Chordata;Aves;Animalia;;;;;
147;Accipitriformes;Accipitridae;2866;0;2864;Espèce;"Vultur tracheliotus";"Forster, 1791";"Vultur tracheliotus Forster, 1791";"Torgos tracheliotus (J. R. Forster, 1791)";"Vautour oricou";;Chordata;Aves;Animalia;;;;;
148;Accipitriformes;Cathartidae;441730;440311;441730;Espèce;"Cathartes aura";"(Linnaeus, 1758)";"Cathartes aura (Linnaeus, 1758)";"Cathartes aura (Linnaeus, 1758)";"Urubu à tête rouge, Vautour aura, Vautour à tête rouge";"Turkey Vulture";Chordata;Aves;Animalia;;;;;
149;Accipitriformes;Cathartidae;828901;0;441730;Espèce;"Vultur aura";"Linnaeus, 1758";"Vultur aura Linnaeus, 1758";"Cathartes aura (Linnaeus, 1758)";"Urubu à tête rouge, Vautour aura, Vautour à tête rouge";"Turkey Vulture";Chordata;Aves;Animalia;;;;;
150;Accipitriformes;Cathartidae;828902;441730;828902;Sous-espèce;"Cathartes aura ruficollis";"Spix, 1824";"Cathartes aura ruficollis Spix, 1824";"Cathartes aura ruficollis Spix, 1824";;;Chordata;Aves;Animalia;;;;;
151;Accipitriformes;Cathartidae;441731;440311;441731;Espèce;"Cathartes burrovianus";"Cassin, 1845";"Cathartes burrovianus Cassin, 1845";"Cathartes burrovianus Cassin, 1845";"""Urubu à tête jaune """;;Chordata;Aves;Animalia;;;;;
152;Accipitriformes;Cathartidae;829135;441731;829135;Sous-espèce;"Cathartes burrovianus urubutinga";"Pelzeln, 1861";"Cathartes burrovianus urubutinga Pelzeln, 1861";"Cathartes burrovianus urubutinga Pelzeln, 1861";;;Chordata;Aves;Animalia;;;;;
153;Accipitriformes;Cathartidae;441732;440311;441732;Espèce;"Cathartes melambrotus";"Wetmore, 1964";"Cathartes melambrotus Wetmore, 1964";"Cathartes melambrotus Wetmore, 1964";"""Grand Urubu """;;Chordata;Aves;Animalia;;;;;
154;Accipitriformes;Cathartidae;441816;440342;441816;Espèce;"Coragyps atratus";"(Bechstein, 1793)";"Coragyps atratus (Bechstein, 1793)";"Coragyps atratus (Bechstein, 1793)";"""Urubu noir """;;Chordata;Aves;Animalia;;;;;
155;Accipitriformes;Cathartidae;828903;0;441816;Espèce;"Vultur atratus";"Bechstein, 1793";"Vultur atratus Bechstein, 1793";"Coragyps atratus (Bechstein, 1793)";"""Urubu noir """;;Chordata;Aves;Animalia;;;;;
156;Accipitriformes;Cathartidae;828905;0;828904;Espèce;"Cathartes brasiliensis";"Bonaparte, 1850";"Cathartes brasiliensis Bonaparte, 1850";"Coragyps atratus brasiliensis (Bonaparte, 1850)";;;Chordata;Aves;Animalia;;;;;
157;Accipitriformes;Cathartidae;828904;441816;828904;Sous-espèce;"Coragyps atratus brasiliensis";"(Bonaparte, 1850)";"Coragyps atratus brasiliensis (Bonaparte, 1850)";"Coragyps atratus brasiliensis (Bonaparte, 1850)";;;Chordata;Aves;Animalia;;;;;
158;Accipitriformes;Cathartidae;442337;440604;442337;Espèce;"Sarcoramphus papa";"Linnaeus, 1758";"Sarcoramphus papa Linnaeus, 1758";"Sarcoramphus papa Linnaeus, 1758";"""Sarcoramphe roi """;;Chordata;Aves;Animalia;;;;;
159;Accipitriformes;Pandionidae;2662;0;2660;Espèce;"Falco haliaetus";"Linnaeus, 1758";"Falco haliaetus Linnaeus, 1758";"Pandion haliaetus (Linnaeus, 1758)";"Balbuzard pêcheur";Osprey;Chordata;Aves;Animalia;;;;;
160;Accipitriformes;Pandionidae;2660;195717;2660;Espèce;"Pandion haliaetus";"(Linnaeus, 1758)";"Pandion haliaetus (Linnaeus, 1758)";"Pandion haliaetus (Linnaeus, 1758)";"Balbuzard pêcheur";Osprey;Chordata;Aves;Animalia;;;;;
161;Accipitriformes;Pandionidae;625971;2660;625971;Sous-espèce;"Pandion haliaetus carolinensis";"(Gmelin, 1788)";"Pandion haliaetus carolinensis (Gmelin, 1788)";"Pandion haliaetus carolinensis (Gmelin, 1788)";;;Chordata;Aves;Animalia;;;;;
162;Accipitriformes;Pandionidae;432705;2660;432705;Sous-espèce;"Pandion haliaetus cristatus";"(Vieillot, 1816)";"Pandion haliaetus cristatus (Vieillot, 1816)";"Pandion haliaetus cristatus (Vieillot, 1816)";"Balbuzard d'Australie, Buse de mer, Aigle pêcheur";"Osprey, Fish Hawk";Chordata;Aves;Animalia;;;;;
163;Accipitriformes;Pandionidae;625972;2660;625972;Sous-espèce;"Pandion haliaetus ridgwayi";"Maynard, 1887";"Pandion haliaetus ridgwayi Maynard, 1887";"Pandion haliaetus ridgwayi Maynard, 1887";;;Chordata;Aves;Animalia;;;;;
164;Anseriformes;Anatidae;2776;188918;2776;Espèce;"Aix galericulata";"(Linnaeus, 1758)";"Aix galericulata (Linnaeus, 1758)";"Aix galericulata (Linnaeus, 1758)";"Canard mandarin";"Mandarin Duck";Chordata;Aves;Animalia;;;;;
165;Anseriformes;Anatidae;2775;188918;2775;Espèce;"Aix sponsa";"(Linnaeus, 1758)";"Aix sponsa (Linnaeus, 1758)";"Aix sponsa (Linnaeus, 1758)";"Canard carolin, Canard branchu";"Wood Duck";Chordata;Aves;Animalia;;;;;
166;Anseriformes;Anatidae;459626;0;2763;Espèce;"Alopochen aegyptiaca";"(Linnaeus, 1766)";"Alopochen aegyptiaca (Linnaeus, 1766)";"Alopochen aegyptiacus (Linnaeus, 1766)";"Ouette d'Égypte, Oie d'Égypte";;Chordata;Aves;Animalia;;;;;
167;Anseriformes;Anatidae;2763;188997;2763;Espèce;"Alopochen aegyptiacus";"(Linnaeus, 1766)";"Alopochen aegyptiacus (Linnaeus, 1766)";"Alopochen aegyptiacus (Linnaeus, 1766)";"Ouette d'Égypte, Oie d'Égypte";;Chordata;Aves;Animalia;;;;;
168;Anseriformes;Anatidae;2765;0;2763;Espèce;"Anas aegyptiaca";"Linnaeus, 1766";"Anas aegyptiaca Linnaeus, 1766";"Alopochen aegyptiacus (Linnaeus, 1766)";"Ouette d'Égypte, Oie d'Égypte";;Chordata;Aves;Animalia;;;;;
169;Anseriformes;Anatidae;459616;188997;459616;Espèce;"Alopochen kervazoi";"(G.S. Cowles, 1994)";"Alopochen kervazoi (G.S. Cowles, 1994)";"Alopochen kervazoi (G.S. Cowles, 1994)";;;Chordata;Aves;Animalia;;;;;
170;Anseriformes;Anatidae;645631;0;459616;Espèce;"Mascarenachen kervazoi";"G.S. Cowles, 1994";"Mascarenachen kervazoi G.S. Cowles, 1994";"Alopochen kervazoi (G.S. Cowles, 1994)";;;Chordata;Aves;Animalia;;;;;
171;Anseriformes;Anatidae;1973;189130;1973;Espèce;"Anas acuta";"Linnaeus, 1758";"Anas acuta Linnaeus, 1758";"Anas acuta Linnaeus, 1758";"Canard pilet";"Northern pintail";Chordata;Aves;Animalia;;;;;
172;Anseriformes;Anatidae;550537;0;456607;Sous-espèce;"Anas aucklandica aucklandica";"(Gray, 1844)";"Anas aucklandica aucklandica (Gray, 1844)";"Anas aucklandica (G.R. Gray, 1844)";"Sarcelle de Nouvelle-Zélande";;Chordata;Aves;Animalia;;;;;
173;Anseriformes;Anatidae;456607;189130;456607;Espèce;"Anas aucklandica";"(G.R. Gray, 1844)";"Anas aucklandica (G.R. Gray, 1844)";"Anas aucklandica (G.R. Gray, 1844)";"Sarcelle de Nouvelle-Zélande";;Chordata;Aves;Animalia;;;;;
174;Anseriformes;Anatidae;550538;0;456607;Sous-espèce;"Anas aucklandica nesiotis";"(J. H. Fleming, 1935)";"Anas aucklandica nesiotis (J. H. Fleming, 1935)";"Anas aucklandica (G.R. Gray, 1844)";"Sarcelle de Nouvelle-Zélande";;Chordata;Aves;Animalia;;;;;
175;Anseriformes;Anatidae;1948;189130;1948;Espèce;"Anas bahamensis";"Linnaeus, 1758";"Anas bahamensis Linnaeus, 1758";"Anas bahamensis Linnaeus, 1758";"Canard des Bahamas, Pilet des Bahamas";"White-cheeked Pintail";Chordata;Aves;Animalia;;;;;
176;Anseriformes;Anatidae;1958;189130;1958;Espèce;"Anas crecca";"Linnaeus, 1758";"Anas crecca Linnaeus, 1758";"Anas crecca Linnaeus, 1758";"Sarcelle d'hiver";"Common Teal";Chordata;Aves;Animalia;;;;;
177;Anseriformes;Anatidae;199302;0;1961;Espèce;"Anas carolinensis";"Gmelin, 1789";"Anas carolinensis Gmelin, 1789";"Anas crecca carolinensis Gmelin, 1789";"Sarcelle à ailes vertes, Sarcelle de la Caroline";"Green-winged Teal";Chordata;Aves;Animalia;;;;;
178;Anseriformes;Anatidae;1961;1958;1961;Sous-espèce;"Anas crecca carolinensis";"Gmelin, 1789";"Anas crecca carolinensis Gmelin, 1789";"Anas crecca carolinensis Gmelin, 1789";"Sarcelle à ailes vertes, Sarcelle de la Caroline";"Green-winged Teal";Chordata;Aves;Animalia;;;;;
179;Anseriformes;Anatidae;1960;1958;1960;Sous-espèce;"Anas crecca crecca";"Linnaeus, 1758";"Anas crecca crecca Linnaeus, 1758";"Anas crecca crecca Linnaeus, 1758";"Sarcelle d'hiver";"Common Teal, Green-winged Teal";Chordata;Aves;Animalia;;;;;
180;Anseriformes;Anatidae;813479;189130;813479;Espèce;"Anas cyanoptera";"Vieillot, 1816";"Anas cyanoptera Vieillot, 1816";"Anas cyanoptera Vieillot, 1816";"Sarcelle cannelle";"Cinnamon Teal";Chordata;Aves;Animalia;;;;;
181;Anseriformes;Anatidae;813480;0;813479;Espèce;"Spatula cyanoptera";"(Vieillot, 1816)";"Spatula cyanoptera (Vieillot, 1816)";"Anas cyanoptera Vieillot, 1816";"Sarcelle cannelle";"Cinnamon Teal";Chordata;Aves;Animalia;;;;;
182;Anseriformes;Anatidae;432601;189130;432601;Espèce;"Anas eatoni";"(Sharpe, 1875)";"Anas eatoni (Sharpe, 1875)";"Anas eatoni (Sharpe, 1875)";"Canard d'Eaton";;Chordata;Aves;Animalia;;;;;
183;Anseriformes;Anatidae;785484;432601;785484;Sous-espèce;"Anas eatoni drygalskii";"Reichenow, 1904";"Anas eatoni drygalskii Reichenow, 1904";"Anas eatoni drygalskii Reichenow, 1904";"Canard de Crozet, Canard d'Eaton (Crozet)";"Crozet Island Pintail, Eaton's Pintail (Crozet)";Chordata;Aves;Animalia;;;;;
184;Anseriformes;Anatidae;785483;432601;785483;Sous-espèce;"Anas eatoni eatoni";"(Sharpe, 1875)";"Anas eatoni eatoni (Sharpe, 1875)";"Anas eatoni eatoni (Sharpe, 1875)";"Canard des Kerguélen, Canard d'Eaton (Kerguélen)";"Kerguelen Island Pintail, Eaton's Pintail (Kerguelen)";Chordata;Aves;Animalia;;;;;
185;Anseriformes;Anatidae;432700;189130;432700;Espèce;"Anas gracilis";"Buller, 1869";"Anas gracilis Buller, 1869";"Anas gracilis Buller, 1869";"Sarcelle australasienne, Sarcelle grise";"Grey Teal";Chordata;Aves;Animalia;;;;;
186;Anseriformes;Anatidae;418812;189130;418812;Espèce;"Anas marecula";"Olson & Jouventin, 1996";"Anas marecula Olson & Jouventin, 1996";"Anas marecula Olson & Jouventin, 1996";;;Chordata;Aves;Animalia;;;;;
187;Anseriformes;Anatidae;441638;189130;441638;Espèce;"Anas melleri";"P. L. Sclater, 1865";"Anas melleri P. L. Sclater, 1865";"Anas melleri P. L. Sclater, 1865";"Canard de Meller";;Chordata;Aves;Animalia;;;;;
188;Anseriformes;Anatidae;416680;0;1966;Espèce;"Anas boschas";"Linnaeus, 1758";"Anas boschas Linnaeus, 1758";"Anas platyrhynchos Linnaeus, 1758";"Canard colvert";Mallard;Chordata;Aves;Animalia;;;;;
189;Anseriformes;Anatidae;1966;189130;1966;Espèce;"Anas platyrhynchos";"Linnaeus, 1758";"Anas platyrhynchos Linnaeus, 1758";"Anas platyrhynchos Linnaeus, 1758";"Canard colvert";Mallard;Chordata;Aves;Animalia;;;;;
190;Anseriformes;Anatidae;441639;189130;441639;Espèce;"Anas rhynchotis";"Latham, 1801";"Anas rhynchotis Latham, 1801";"Anas rhynchotis Latham, 1801";"Canard bridé, Souchet australien";;Chordata;Aves;Animalia;;;;;
191;Anseriformes;Anatidae;432703;441639;432703;Sous-espèce;"Anas rhynchotis rhynchotis";"Latham, 1801";"Anas rhynchotis rhynchotis Latham, 1801";"Anas rhynchotis rhynchotis Latham, 1801";;;Chordata;Aves;Animalia;;;;;
192;Anseriformes;Anatidae;1968;189130;1968;Espèce;"Anas rubripes";"Brewster, 1902";"Anas rubripes Brewster, 1902";"Anas rubripes Brewster, 1902";"Canard noir";"American Black Duck";Chordata;Aves;Animalia;;;;;
193;Anseriformes;Anatidae;441640;189130;441640;Espèce;"Anas superciliosa";"Gmelin, 1789";"Anas superciliosa Gmelin, 1789";"Anas superciliosa Gmelin, 1789";;"Pacific Black Duck";Chordata;Aves;Animalia;;;;;
194;Anseriformes;Anatidae;432702;441640;432702;Sous-espèce;"Anas superciliosa pelewensis";"Hartlaub & Finsch, 1872";"Anas superciliosa pelewensis Hartlaub & Finsch, 1872";"Anas superciliosa pelewensis Hartlaub & Finsch, 1872";"Canard à sourcils, Canard sauvage";"Grey Duck, Pacific black Duck";Chordata;Aves;Animalia;;;;;
195;Anseriformes;Anatidae;432589;189130;432589;Espèce;"Anas theodori";"Newton & Gadow, 1893";"Anas theodori Newton & Gadow, 1893";"Anas theodori Newton & Gadow, 1893";;;Chordata;Aves;Animalia;;;;;
196;Anseriformes;Anatidae;2734;189224;2734;Espèce;"Anser albifrons";"(Scopoli, 1769)";"Anser albifrons (Scopoli, 1769)";"Anser albifrons (Scopoli, 1769)";"Oie rieuse";"Greater White-fronted Goose";Chordata;Aves;Animalia;;;;;
197;Anseriformes;Anatidae;2736;0;2734;Espèce;"Branta albifrons";"Scopoli, 1769";"Branta albifrons Scopoli, 1769";"Anser albifrons (Scopoli, 1769)";"Oie rieuse";"Greater White-fronted Goose";Chordata;Aves;Animalia;;;;;
198;Anseriformes;Anatidae;2737;2734;2737;Sous-espèce;"Anser albifrons albifrons";"(Scopoli, 1769)";"Anser albifrons albifrons (Scopoli, 1769)";"Anser albifrons albifrons (Scopoli, 1769)";;;Chordata;Aves;Animalia;;;;;
199;Anseriformes;Anatidae;2738;2734;2738;Sous-espèce;"Anser albifrons flavirostris";"Dalgety & Scott, 1948";"Anser albifrons flavirostris Dalgety & Scott, 1948";"Anser albifrons flavirostris Dalgety & Scott, 1948";;;Chordata;Aves;Animalia;;;;;
200;Anseriformes;Anatidae;2743;0;2741;Espèce;"Anas anser";"Linnaeus, 1758";"Anas anser Linnaeus, 1758";"Anser anser (Linnaeus, 1758)";"Oie cendrée";"Greylag Goose";Chordata;Aves;Animalia;;;;;
201;Anseriformes;Anatidae;2741;189224;2741;Espèce;"Anser anser";"(Linnaeus, 1758)";"Anser anser (Linnaeus, 1758)";"Anser anser (Linnaeus, 1758)";"Oie cendrée";"Greylag Goose";Chordata;Aves;Animalia;;;;;
